 type   sat      day     hms     lat     lon     pre   spd   dir   rff    qi
IR     GOES12  20080827  2255   12.61    81.31   187    6.8   89  61.13  0.92
IR     GOES12  20080827  2255   12.46    80.77   137    5.0   87  56.08  1.00
IR     GOES12  20080827  2255   12.68    80.33   137    4.6   87  53.53  0.90
IR     GOES12  20080827  2255   12.53    79.77   175   14.3   70  64.25  0.98
IR     GOES12  20080827  2255   12.41    79.66   212   14.4   69  63.61  0.92
IR     GOES12  20080827  2255   12.79    78.50   200   11.1   58  70.34  1.00
IR     GOES12  20080827  2255   12.30    78.18   175   14.6   60  71.42  1.00
IR     GOES12  20080827  2255   12.41    77.71   225   13.3   61  71.40  0.94
IR     GOES12  20080827  2255   12.48    77.63   200   12.8   60  81.64  0.85
IR     GOES12  20080827  2255   12.63    77.27   212    9.6   51  64.40  0.79
IR     GOES12  20080827  2255   12.37    76.10   175   11.2   55  70.08  0.92
IR     GOES12  20080827  2255   12.41    76.06   175   10.9   55  70.09  0.96
IR     GOES12  20080827  2255   12.41    75.44   162    8.2   90  54.13  0.79
IR     GOES12  20080827  2255   12.37    73.86   150   18.7   57  46.52  0.60
IR     GOES12  20080827  2255   12.38    69.85   175   11.1   71  64.18  0.75
IR     GOES12  20080827  2255   12.38    69.51   137    8.4  100  46.27  0.77
IR     GOES12  20080827  2255   12.49    68.67   175    6.3   89  48.60  0.82
IR     GOES12  20080827  2255   12.62    66.91   162   15.4   21  64.59  0.93
IR     GOES12  20080827  2255   12.77    66.38   175   15.1   21  63.18  0.95
IR     GOES12  20080827  2255   12.58    65.94   137   15.8   21  59.98  0.99
IR     GOES12  20080827  2255   12.63    64.44   287    6.5   74  72.82  0.82
IR     GOES12  20080827  2255   12.78    64.32   300    7.5   68  78.75  0.82
IR     GOES12  20080827  2255   12.68    63.63   187   16.3   48  72.27  0.99
IR     GOES12  20080827  2255   12.75    63.56   187   16.1   49  72.59  1.00
IR     GOES12  20080827  2255   12.34    63.21   162   16.5   47  78.58  0.97
IR     GOES12  20080827  2255   12.46    62.52   162   15.4   56  66.81  0.93
IR     GOES12  20080827  2255   12.76    62.04   162   14.2   53  71.72  1.00
IR     GOES12  20080827  2255   12.50    61.88   162   14.0   52  71.39  0.95
IR     GOES12  20080827  2255   12.58    61.57   187    9.4   47  55.20  0.57
IR     GOES12  20080827  2255   11.79    88.65   262   12.0   91  68.19  0.99
IR     GOES12  20080827  2255   12.16    82.93   187   11.8   80  75.03  0.91
IR     GOES12  20080827  2255   12.13    82.75   187   11.3   79  79.42  0.99
IR     GOES12  20080827  2255   12.16    82.39   175    9.4   81  76.16  1.00
IR     GOES12  20080827  2255   12.20    82.20   175    7.6   81  65.55  0.60
IR     GOES12  20080827  2255   12.16    81.66   150    6.9   70  60.70  0.89
IR     GOES12  20080827  2255   12.19    81.41   187    5.3   94  53.39  0.96
