 type   sat      day     hms     lat     lon     pre   spd   dir
WV11   GOES12  20050825  2245   13.49    76.22   175   13.3   53
WV11   GOES12  20050825  2245   13.59    75.29   162   13.4   50
WV11   GOES12  20050825  2245   13.87    74.74   187   11.3   50
WV11   GOES12  20050825  2245   13.77    74.27   162   11.5   55
WV11   GOES12  20050825  2245   13.77    73.71   162   11.3   62
WV11   GOES12  20050825  2245   13.87    72.87   150   11.8   52
WV11   GOES12  20050825  2245   13.87    72.22   237   11.9   52
WV11   GOES12  20050825  2245   13.77    71.38   187   13.5   53
WV11   GOES12  20050825  2245   13.96    71.00   187   12.8   45
WV11   GOES12  20050825  2245   13.26    94.09   337   11.2   78
WV11   GOES12  20050825  2245   13.41    91.09   137   11.1   95
WV11   GOES12  20050825  2245   13.22    90.68   137   11.0   95
WV11   GOES12  20050825  2245   13.21    76.50   225   12.5   49
WV11   GOES12  20050825  2245   13.21    75.76   162   13.2   52
WV11   GOES12  20050825  2245   13.21    75.29   200   13.5   50
WV11   GOES12  20050825  2245   13.02    74.27   137   12.3   57
WV11   GOES12  20050825  2245   13.11    74.09   162   11.6   59
WV11   GOES12  20050825  2245   13.30    73.15   137   12.3   56
WV11   GOES12  20050825  2245   13.20    72.60   175   12.1   56
WV11   GOES12  20050825  2245   13.02    72.23   187   11.6   60
IR     GOES12  20050825  2245   13.59    90.67   137   11.5   99
IR     GOES12  20050825  2245   13.59    90.65   137   11.8   98
IR     GOES12  20050825  2245   13.90    82.93   175   11.1  101
IR     GOES12  20050825  2245   13.86    82.43   187    7.8   71
IR     GOES12  20050825  2245   13.71    81.88   250   11.6  120
IR     GOES12  20050825  2245   13.52    81.71   237    8.4  114
IR     GOES12  20050825  2245   13.77    78.63   162    6.5   38
IR     GOES12  20050825  2245   13.69    78.35   162    9.0   56
IR     GOES12  20050825  2245   13.54    78.17   162    9.6   61
IR     GOES12  20050825  2245   13.50    77.85   162   12.5   39
IR     GOES12  20050825  2245   13.50    77.51   137   13.7   47
